Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadoop,spark,aws,tableau,big_data,job_simp,seniority
Decision Scientist,31-56 ,4.5,Johns Hopkins University Applied Physics Laboratory,"Laurel, MD","Laurel, MD",5001 to 10000 employees,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),31,56,43, MD,1,78,0,1,0,1,0,0,0,na,na
Data Scientist,31-56 ,4.9,Cambridge Mobile Telematics,"Cambridge, MA","Cambridge, MA",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,31,56,43, MA,1,10,1,0,0,1,1,0,0,data scientist,na
Data Scientist - TS/SCI FSP or CI Required,31-56 ,5,Phoenix Operations Group,"Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),31,56,43, MD,0,9,1,0,0,1,0,0,1,data scientist,na
"Data Scientist, Applied Machine Learning - Bay Area",95-119 ,3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,95,119,107, CA,0,5,1,0,0,0,1,0,0,data scientist,na
Data Scientist,95-119 ,3.5,The Knot Worldwide,"Washington, DC","Chevy Chase, MD",1001 to 5000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,95,119,107, DC,0,1,1,0,0,1,1,0,0,data scientist,na
Data Scientist,95-119 ,3.5,Crossover Health,"San Clemente, CA","Aliso Viejo, CA",1 to 50 employees,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),95,119,107, CA,0,10,1,1,0,0,0,1,1,data scientist,na
Data Scientist,95-119 ,4,Lorven Technologies Inc,"New York, NY","Plainsboro, NJ",1 to 50 employees,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),95,119,107, NY,0,-1,1,0,0,0,0,0,0,data scientist,na
Data Analyst,95-119 ,3.9,Nolij Consulting,"Falls Church, VA","Vienna, VA",51 to 200 employees,Company - Public,Consulting,Business Services,$1 to $5 million (USD),95,119,107, VA,0,8,1,1,0,0,0,1,0,analyst,na
Data Scientist,95-119 ,3.4,Dice.com,"Newton, MA","Denver, CO",201 to 500 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),95,119,107, MA,0,30,1,1,0,0,1,0,0,data scientist,na
Data Scientist,95-119 ,3.5,Gap Inc.,"San Francisco, CA","San Francisco, CA",10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),95,119,107, CA,1,51,1,0,0,1,0,0,1,data scientist,na
Data Scientist,95-119 ,4.7,"Tygart Technology, Inc","Washington, DC","Fairmont, WV",1 to 50 employees,Company - Private,-1,-1,$1 to $5 million (USD),95,119,107, DC,0,-1,1,1,1,0,0,0,1,data scientist,na
Data Scientist,95-119 ,0,Hatch Data Inc,"San Francisco, CA",-1,-1,-1,-1,-1,-1,95,119,107, CA,0,-1,1,0,0,1,1,0,0,data scientist,na
Data Scientist,95-119 ,0,Hatch Data Inc,"San Francisco, CA",-1,-1,-1,-1,-1,-1,95,119,107, CA,0,-1,1,0,0,1,1,0,0,data scientist,na
Data Scientist,95-119 ,0,Hatch Data Inc,"San Francisco, CA",-1,-1,-1,-1,-1,-1,95,119,107, CA,0,-1,1,0,0,1,1,0,0,data scientist,na
Data Scientist,95-119 ,0,Hatch Data Inc,"San Francisco, CA",-1,-1,-1,-1,-1,-1,95,119,107, CA,0,-1,1,0,0,1,1,0,0,data scientist,na
Data Scientist,95-119 ,0,Hatch Data Inc,"San Francisco, CA",-1,-1,-1,-1,-1,-1,95,119,107, CA,0,-1,1,0,0,1,1,0,0,data scientist,na
Data Scientist,95-119 ,0,Hatch Data Inc,"San Francisco, CA",-1,-1,-1,-1,-1,-1,95,119,107, CA,0,-1,1,0,0,1,1,0,0,data scientist,na
Data Scientist,95-119 ,4.6,Murray Resources,"The Woodlands, TX","Houston, TX",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),95,119,107, TX,0,32,1,1,1,0,0,1,0,data scientist,na
Data Scientist,95-119 ,4,New York Technology Partners,"Seattle, WA","Jersey City, NJ",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),95,119,107, WA,0,21,1,1,1,1,1,0,0,data scientist,na
Data Scientist,95-119 ,4,Two95 International Inc.,"Chicago, IL","Cherry Hill, NJ",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),95,119,107, IL,0,-1,1,0,0,0,0,0,0,data scientist,na
Data Scientist,95-119 ,0,Sophinea,"Chantilly, VA",-1,1 to 50 employees,Unknown,-1,-1,Unknown / Non-Applicable,95,119,107, VA,0,-1,0,0,0,0,0,0,0,data scientist,na
Data Scientist,95-119 ,4.7,CRS Group,"Chicago, IL","Itasca, IL",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),95,119,107, IL,0,26,0,0,0,0,0,0,0,data scientist,na
Data Scientist,95-119 ,3.5,Blackstone Talent Group,"San Francisco, CA","San Francisco, CA",51 to 200 employees,Company - Private,Consulting,Business Services,$25 to $50 million (USD),95,119,107, CA,1,22,1,0,0,0,1,0,0,data scientist,na
Data Scientist - TS/SCI Required,95-119 ,5,Phoenix Operations Group,"Baltimore, MD","Woodbine, MD",1 to 50 employees,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),95,119,107, MD,0,9,1,0,0,1,0,0,1,data scientist,na
Senior Principal Data Scientist (Python/R),212-331 ,4.1,Roche,"Pleasanton, CA","Basel, Switzerland",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),212,331,271, CA,0,124,1,1,1,1,0,0,1,data scientist,senior
"Real World Science, Data Scientist",212-331 ,4,AstraZeneca,"Wilmington, DE","Cambridge, United Kingdom",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),212,331,271, DE,0,107,1,0,1,0,0,0,0,data scientist,na
Data Scientist,212-331 ,3.6,Creative Circle,United States,"Los Angeles, CA",201 to 500 employees,Company - Public,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,212,331,271,US,0,18,1,0,0,0,0,0,0,data scientist,na
Data Scientist(s)/Machine Learning Engineer,212-331 ,5,Blue Horizon Tek Solutions,"New York, NY","Coconut Creek, FL",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,212,331,271, NY,0,33,1,1,0,0,0,0,0,data scientist,na
Senior Data Scientist,212-331 ,3.5,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),212,331,271, VA,0,-1,1,1,0,0,0,0,1,data scientist,senior
Data Scientist,212-331 ,4.7,Sharpedge Solutions Inc,"Seattle, WA","Lombard, IL",Unknown,Company - Private,Publishing,Media,Less than $1 million (USD),212,331,271, WA,0,-1,1,1,1,1,1,0,0,data scientist,na
Data Scientist,212-331 ,3.5,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),212,331,271, VA,0,-1,1,0,1,1,0,1,0,data scientist,na
Data Scientist,212-331 ,3.6,Alaka`ina Foundation Family of Companies,"Fort Sam Houston, TX","Honolulu, HI",501 to 1000 employees,Government,-1,-1,Unknown / Non-Applicable,212,331,271, TX,0,-1,1,0,0,0,0,0,0,data scientist,na
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,212-331 ,3.9,Southwest Research Institute,"Oklahoma City, OK","San Antonio, TX",1001 to 5000 employees,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),212,331,271, OK,0,73,1,1,0,0,0,0,0,na,na
Data Scientist,212-331 ,2.7,Hexagon US Federal,"Lexington Park, MD","Chantilly, VA",51 to 200 employees,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,212,331,271, MD,0,10,0,1,0,0,1,0,0,data scientist,na
Data Science Software Engineer,212-331 ,4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,212,331,271, MA,1,8,1,0,0,0,0,0,0,na,na
"Scientist / Group Lead, Cancer Biology",212-331 ,0,Monte Rosa Therapeutics,"Cambridge, MA",-1,-1,-1,-1,-1,-1,212,331,271, MA,0,-1,0,1,0,0,0,0,0,na,senior
